[    5301ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://127.0.0.1:4179/node_modules/.vite/deps/react-dom_client.js?v=2aace9b0:20102
[  209251ms] [ERROR] Failed to load resource: the server responded with a status of 500 (Internal Server Error) @ http://127.0.0.1:4179/api/chat:0
[  812500ms] [LOG] [vite] server connection lost. Polling for restart... @ http://127.0.0.1:4179/@vite/client:963
[  814984ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:24678/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4179/@vite/client:1034
[  818235ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:24678/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4179/@vite/client:1034
[  823477ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:24678/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4179/@vite/client:1034
[  826827ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:24678/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4179/@vite/client:1034
[  830271ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:24678/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4179/@vite/client:1034
[  833789ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:24678/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4179/@vite/client:1034
[  837326ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:24678/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4179/@vite/client:1034
[  840752ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:24678/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4179/@vite/client:1034
[  844296ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:24678/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4179/@vite/client:1034
[  847748ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:24678/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4179/@vite/client:1034
[  851120ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:24678/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4179/@vite/client:1034
[  854613ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:24678/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4179/@vite/client:1034
[  858059ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:24678/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4179/@vite/client:1034
